Code,Name
MKT,Mankato Regional Airport
MBA,Manokotak Airport
MFD,Mansfield Lahm Regional Airport
MLL,Marshall Airport
3A5,Marshall Don Hunter Sr
MDM,Marshall Don Hunter Sr Airport
MVY,Martha's Vineyard Airport
MCW,Mason City Municipal Airport
MSS,Massena International Airport
MAZ,Mayaquez Airport
MCC,Mc Clellan Airfield
CRQ,Mc Clellan-Palomar Airport
MCK,Mc Cook Regional Airport
MKL,Mc Kellar-Sipes Regional Airport
MMV,Mc Minnville Municipal Airport
MFE,Mcallen-Miller International Airport
LAS,Mccarran International Airport
MCG,McGrath Airport
TYS,Mcghee Tyson Airport
BFL,Meadows Field Airport
MFR,Medford Rogue Valley International Airport
MLB,Melbourne International Airport
HOT,Memorial Field Airport
MEM,Memphis Airport
MNM,Menominee-Marinette Twin County Airport
MCE,Merced Municipal Airport
PSE,Mercedita Airport
CGX,Merrill C Meigs Field
MRI,Merrill Field
MTM,Metlakatla Airport
X44,Miami Airport
MIA,Miami International Airport
GLH,Mid Delta Regional Airport
PKB,Mid-Ohio Valley Regional Airport
BLV,Midamerica Airport
3T7,Middle Bass Island Airport
MCN,Middle Georgia Regional Airport
MAF,Midland International Airport
NQA,Millington Regional Jetport
MIV,Millville Municipal Airport
MSP,Minneapolis/St. Paul International Airport
MOT,Minot International Airport
MSO,Missoula International Airport
MHE,Mitchell Municipal Airport
MOB,Mobile Regional Airport
MOD,Modesto City-County Airport
MKK,Molokai Airport
BLM,Monmouth Executive Airport
BMG,Monroe County Airport
MLU,Monroe Regional Airport
MRY,Monterey Peninsula Airport
MGM,Montgomery Regional Airport
MTJ,Montrose Regional Airport
SOP,Moore County Airport
MGW,Morgantown Municipal Airport
MMU,Morristown Municipal Airport
MVL,Morrisville-Stowe State Airport
MQJ,Mount Comfort Airport
MVN,Mount Vernon Airport
MOU,Mountain Village Airport
MKG,Muskegon County Airport
MYR,Myrtle Beach Airport
ACK,Nantucket Memorial Airport
WNA,Napakiak Airport
APF,Naples Municipal Airport
BNA,Nashville International Airport
CPR,Natrona County International Airport
EWB,New Bedford Regional Airport
ILG,New Castle Airport
MSY,New Orleans International Airport
EWR,Newark Liberty International Airport
ONP,Newport Municipal Airport
PHF,Newport News/Williamsburg International Airport
UUU,Newport State Airport
EFK,Newport State Airport
EWU,Newtok Airport
WTK,Noatak Airport
OME,Nome Airport
ORF,Norfolk International Airport
OTH,North Bend Municipal Airport
SFZ,North Central State Airport
VGT,North Las Vegas Air Terminal
LBF,North Platte Regional Airport Lee Bird Field
PQI,Northern Maine Regional Airport
MSL,Northwest Alabama Regional Airport
XNA,Northwest Arkansas Regional Airport
AQT,Nuiqsut Airport
NUL,Nulato Airport
16A,Nunapitchuk Airport
PTK,Oakland County International Airport
OAK,Oakland International Airport
OCF,Ocala International Airport
Z08,Ofu Airport
OGD,Ogden-Hinckley Airport
OGS,Ogdensburg International Airport
OSU,Ohio State University Airport
IXD,Olathe/New Century Aircenter Airport
6R7,Old Harbor Airport
OLM,Olympia Airport
UCA,Oneida County Airport
ONT,Ontario International Airport
ORS,Orcas Island Airport
MCO,Orlando International Airport
SFB,Orlando Sanford International Airport
OTM,Ottumwa Industrial Airport
ATW,Outagamie County Regional Airport
OWB,Owensboro-Daviess County Airport
OXR,Oxnard Airport
PAH,Paducah Barkley Regional Airport
PGA,Page Municipal Airport
PPG,Pago Pago International Airport
PBI,Palm Beach International Airport
PSP,Palm Springs International Airport
PMD,Palmdale Regional Airport
PFN,Panama City-Bay County International Airport
EAT,Pangborn Memorial Airport
PRB,Paso Robles Municipal Airport
PSM,Pease International Airport
PLN,Pellston Regional Airport
PNS,Pensacola Regional Airport
PIA,Peoria Regional Airport
PSG,Petersburg Airport
PHL,Philadelphia International Airport
GYR,Phoenix Goodyear Airport
PHX,Phoenix Sky Harbor International Airport
GSO,Piedmont Triad International Airport
PIR,Pierre Regional Airport
0AK,Pilot Station Airport
MZJ,Pinal Airpark
PGV,Pitt-Greenville Airport
PIT,Pittsburgh International Airport
PIH,Pocatello Regional Airport
PHO,Point Hope Airport
PNC,Ponca City Regional Airport
CMH,Port Columbus International Airport
PGM,Port Graham Airport
PTH,Port Heiden Airport
ORI,Port Lions Airport
VPZ,Porter County Municipal Airport
PDX,Portland International Airport
PWM,Portland International Jetport
PPC,Prospect Creek Airport
PVC,Provincetown Municipal Airport
PVU,Provo Municipal Airport
PUB,Pueblo Memorial Airport
PUW,Pullman / Moscow Regional Airport
LAF,Purdue University Airport
3W2,Put - in - Bay Airport
MLI,Quad City International Airport
UIN,Quincy Regional Airport - Baldwin Field
AQH,Quinhagak Airport
OQU,Quonset State Airport
BKW,Raleigh County Memorial Airport
RDU,Raleigh-Durham International Airport
TAL,Ralph M Calhoun Memorial Airport
OTZ,Ralph Wien Memorial Airport
RAP,Rapid City Regional Airport
RDG,Reading Regional Airport
RDD,Redding Municipal Airport
RNO,Reno-Tahoe International Airport
FRG,Republic Airport
RHI,Rhinelander-Oneida County Airport
RMG,Richard B Russell Airport
RIC,Richmond International Airport
LCK,Rickenbacker International Airport
RIW,Riverton Regional Airport
ROA,Roanoke Regional Airport
D76,Robert (Bob) Curtis Memorial Airport
ORV,Robert (Bob) Curtis Memorial Airport
MJX,Robert J. Miller Air Park
RDM,Roberts Field
RST,Rochester International Airport
RKS,Rock Springs-Sweetwater County Airport
RWI,Rocky Mount-Wilson Regional Airport
DCA,Ronald Reagan Washington National Airport
STJ,Rosecrans Memorial Airport
ROW,Roswell Industrial Air Center Airport
GRO,Rota International Airport
RSH,Russian Mission Airport
RUT,Rutland State Airport
SMF,Sacramento International Airport
MBS,Saginaw International Airport
SNP,Saint Paul Island Airport
GSN,Saipan International Airport
SLE,Salem Municipal Airport - McNary Field
SLN,Salina Municipal Airport
SBY,Salisbury-Ocean City Wicomico Regional Airport
SLC,Salt Lake City International Airport
SJT,San Angelo Regional Airport/Mathis Field
SAT,San Antonio International Airport
SBD,San Bernardino International Airport
SAN,San Diego International Airport
SFO,San Francisco International Airport
SJC,San Jose International Airport
SBP,San Luis County Regional Airport
ALS,San Luis Valley Regional Airport
SDP,Sand Point Airport
SBA,Santa Barbara Airport
SAF,Santa Fe Municipal Airport
SMX,Santa Maria Public Airport
SRQ,Sarasota-Bradenton International Airport
SAV,Savannah/Hilton Head International Airport
SVA,Savoonga Airport
SAW,Sawyer International Airport
SCM,Scammon Bay Airport
SEA,Seattle/Tacoma International Airport
WLK,Selawik Airport
SOV,Seldovia Airport
SHD,Shenandoah Valley Regional Airport
SHR,Sheridan County Airport
SHH,Shishmaref Airport
SOW,Show Low Regional Airport
SHV,Shreveport Regional Airport
SHG,Shungnak Airport
SDY,Sidney-Richland Municipal Airport
SRR,Sierra Blanca Regional Airport
FHU,Sierra Vista Municipal Airport
FSD,Sioux Falls Regional Airport
SUX,Sioux Gateway Airport
SIT,Sitka Rocky Gutierrez Airport
SGY,Skagway Airport
ILE,Skylark Field
ISN,Sloulin Field International Airport
INT,Smith Reynolds Airport
MQY,Smyrna Airport
PAE,Snohomish County Airport (Paine Field)
STS,Sonoma County Airport
